ticker,name,sector,biased
ALB,Albemarle Corporation,Basic Materials,neutral
APD,"Air Products and Chemicals, Inc.",Basic Materials,buy
CE,Celanese Corporation,Basic Materials,neutral
CF,"CF Industries Holdings, Inc.",Basic Materials,neutral
CTVA,"Corteva, Inc.",Basic Materials,buy
DD,"DuPont de Nemours, Inc.",Basic Materials,neutral
DOW,Dow Inc.,Basic Materials,neutral
ECL,Ecolab Inc.,Basic Materials,neutral
EMN,Eastman Chemical Company,Basic Materials,buy
FCX,Freeport-McMoRan Inc.,Basic Materials,neutral
FMC,FMC Corporation,Basic Materials,neutral
IFF,International Flavors & Fragrances Inc.,Basic Materials,buy
LIN,Linde plc,Basic Materials,buy
LYB,LyondellBasell Industries N.V.,Basic Materials,neutral
MLM,"Martin Marietta Materials, Inc.",Basic Materials,neutral
MOS,The Mosaic Company,Basic Materials,neutral
NEM,Newmont Corporation,Basic Materials,neutral
NUE,Nucor Corporation,Basic Materials,buy
PPG,"PPG Industries, Inc.",Basic Materials,buy
SHW,The Sherwin-Williams Company,Basic Materials,neutral
VMC,Vulcan Materials Company,Basic Materials,neutral
