ticker,name,marketcap,biased
A,"Agilent Technologies, Inc.",Q2,neutral
ADSK,"Autodesk, Inc.",Q2,neutral
AEP,"American Electric Power Company, Inc.",Q2,buy
AFL,Aflac Incorporated,Q2,neutral
AJG,Arthur J. Gallagher & Co.,Q2,buy
ALL,The Allstate Corporation,Q2,neutral
ANET,"Arista Networks, Inc.",Q2,neutral
AON,Aon plc,Q2,buy
APD,"Air Products and Chemicals, Inc.",Q2,neutral
APH,Amphenol Corporation,Q2,buy
AZO,"AutoZone, Inc.",Q2,buy
BDX,"Becton, Dickinson and Company",Q2,buy
BIIB,Biogen Inc.,Q2,neutral
BK,The Bank of New York Mellon Corporation,Q2,buy
CCI,Crown Castle Inc.,Q2,buy
CDNS,"Cadence Design Systems, Inc.",Q2,buy
CHTR,"Charter Communications, Inc.",Q2,buy
CI,Cigna Corporation,Q2,buy
CL,Colgate-Palmolive Company,Q2,neutral
CMG,"Chipotle Mexican Grill, Inc.",Q2,neutral
CNC,Centene Corporation,Q2,neutral
CPRT,"Copart, Inc.",Q2,buy
CSX,CSX Corporation,Q2,neutral
CTAS,Cintas Corporation,Q2,neutral
CTSH,Cognizant Technology Solutions Corporation,Q2,buy
CTVA,"Corteva, Inc.",Q2,buy
D,"Dominion Energy, Inc.",Q2,neutral
DG,Dollar General Corporation,Q2,neutral
DLR,"Digital Realty Trust, Inc.",Q2,buy
DOW,Dow Inc.,Q2,neutral
EA,Electronic Arts Inc.,Q2,neutral
ECL,Ecolab Inc.,Q2,neutral
EL,The Estée Lauder Companies Inc.,Q2,buy
EMR,Emerson Electric Co.,Q2,buy
EOG,"EOG Resources, Inc.",Q2,buy
EW,Edwards Lifesciences Corporation,Q2,buy
EXC,Exelon Corporation,Q2,buy
F,Ford Motor Company,Q2,buy
FANG,"Diamondback Energy, Inc.",Q2,buy
FCX,Freeport-McMoRan Inc.,Q2,buy
FDX,FedEx Corporation,Q2,neutral
FI,"Fiserv, Inc.",Q2,buy
FIS,"Fidelity National Information Services, Inc.",Q2,neutral
FTNT,"Fortinet, Inc.",Q2,buy
GD,General Dynamics Corporation,Q2,buy
GIS,"General Mills, Inc.",Q2,neutral
GM,General Motors Company,Q2,buy
GPN,Global Payments Inc.,Q2,buy
HCA,"HCA Healthcare, Inc.",Q2,neutral
HES,Hess Corporation,Q2,buy
HLT,Hilton Worldwide Holdings Inc.,Q2,buy
HUM,Humana Inc.,Q2,buy
ICE,"Intercontinental Exchange, Inc.",Q2,buy
IDXX,"IDEXX Laboratories, Inc.",Q2,buy
IQV,IQVIA Holdings Inc.,Q2,buy
ITW,Illinois Tool Works Inc.,Q2,buy
JCI,Johnson Controls International plc,Q2,buy
KHC,The Kraft Heinz Company,Q2,buy
KLAC,KLA Corporation,Q2,buy
KMB,Kimberly-Clark Corporation,Q2,neutral
KMI,"Kinder Morgan, Inc.",Q2,buy
LHX,"L3Harris Technologies, Inc.",Q2,neutral
LVS,Las Vegas Sands Corp.,Q2,buy
MAR,"Marriott International, Inc.",Q2,neutral
MCHP,Microchip Technology Incorporated,Q2,buy
MCK,McKesson Corporation,Q2,buy
MCO,Moody's Corporation,Q2,neutral
MET,"MetLife, Inc.",Q2,neutral
MMM,3M Company,Q2,buy
MNST,Monster Beverage Corporation,Q2,neutral
MSCI,MSCI Inc.,Q2,buy
MSI,"Motorola Solutions, Inc.",Q2,buy
NEM,Newmont Corporation,Q2,buy
NOC,Northrop Grumman Corporation,Q2,buy
NSC,Norfolk Southern Corporation,Q2,buy
O,Realty Income Corporation,Q2,neutral
OKE,"ONEOK, Inc.",Q2,buy
ORLY,"O'Reilly Automotive, Inc.",Q2,buy
OXY,Occidental Petroleum Corporation,Q2,buy
PAYX,"Paychex, Inc.",Q2,buy
PCAR,PACCAR Inc,Q2,buy
PH,Parker-Hannifin Corporation,Q2,neutral
PNC,"The PNC Financial Services Group, Inc.",Q2,buy
PRU,"Prudential Financial, Inc.",Q2,buy
PSA,Public Storage,Q2,neutral
PSX,Phillips 66,Q2,buy
ROP,"Roper Technologies, Inc.",Q2,buy
ROST,"Ross Stores, Inc.",Q2,neutral
RSG,"Republic Services, Inc.",Q2,buy
SHW,The Sherwin-Williams Company,Q2,neutral
SLB,Schlumberger Limited,Q2,neutral
SNPS,"Synopsys, Inc.",Q2,buy
SPG,"Simon Property Group, Inc.",Q2,buy
SRE,Sempra,Q2,buy
STZ,"Constellation Brands, Inc.",Q2,buy
SYY,Sysco Corporation,Q2,buy
TDG,TransDigm Group Incorporated,Q2,buy
TEL,TE Connectivity Ltd.,Q2,neutral
TFC,Truist Financial Corporation,Q2,neutral
TRV,"The Travelers Companies, Inc.",Q2,buy
TT,Trane Technologies plc,Q2,buy
WELL,Welltower Inc.,Q2,buy
WM,"Waste Management, Inc.",Q2,buy
WMB,"The Williams Companies, Inc.",Q2,buy
XEL,Xcel Energy Inc.,Q2,buy
YUM,"Yum! Brands, Inc.",Q2,buy
