ticker,name,sector,biased
ALB,Albemarle Corporation,Basic Materials,neutral
APD,"Air Products and Chemicals, Inc.",Basic Materials,neutral
CE,Celanese Corporation,Basic Materials,neutral
CF,"CF Industries Holdings, Inc.",Basic Materials,neutral
CTVA,"Corteva, Inc.",Basic Materials,neutral
DD,"DuPont de Nemours, Inc.",Basic Materials,neutral
DOW,Dow Inc.,Basic Materials,neutral
ECL,Ecolab Inc.,Basic Materials,neutral
EMN,Eastman Chemical Company,Basic Materials,neutral
FCX,Freeport-McMoRan Inc.,Basic Materials,neutral
FMC,FMC Corporation,Basic Materials,neutral
IFF,International Flavors & Fragrances Inc.,Basic Materials,neutral
LIN,Linde plc,Basic Materials,buy
LYB,LyondellBasell Industries N.V.,Basic Materials,neutral
MLM,"Martin Marietta Materials, Inc.",Basic Materials,sell
MOS,The Mosaic Company,Basic Materials,neutral
NEM,Newmont Corporation,Basic Materials,neutral
NUE,Nucor Corporation,Basic Materials,neutral
PPG,"PPG Industries, Inc.",Basic Materials,neutral
SHW,The Sherwin-Williams Company,Basic Materials,neutral
VMC,Vulcan Materials Company,Basic Materials,neutral
