ticker,name,buy_count,sell_count,total_count,buy_ratio,preference,biased
IR,Ingersoll Rand Inc.,10,0,10,1.0,1.0,buy
MA,Mastercard Incorporated,10,0,10,1.0,1.0,buy
JKHY,"Jack Henry & Associates, Inc.",10,0,10,1.0,1.0,buy
JNJ,Johnson & Johnson,10,0,10,1.0,1.0,buy
JPM,JPMorgan Chase & Co.,10,0,10,1.0,1.0,buy
KEY,KeyCorp,10,0,10,1.0,1.0,buy
KIM,Kimco Realty Corporation,10,0,10,1.0,1.0,buy
KMB,Kimberly-Clark Corporation,10,0,10,1.0,1.0,buy
KMI,"Kinder Morgan, Inc.",10,0,10,1.0,1.0,buy
KR,The Kroger Co.,10,0,10,1.0,1.0,buy
LDOS,"Leidos Holdings, Inc.",10,0,10,1.0,1.0,buy
LIN,Linde plc,10,0,10,1.0,1.0,buy
LLY,Eli Lilly and Company,10,0,10,1.0,1.0,buy
LMT,Lockheed Martin Corporation,10,0,10,1.0,1.0,buy
LOW,"Lowe's Companies, Inc.",10,0,10,1.0,1.0,buy
LYV,"Live Nation Entertainment, Inc.",10,0,10,1.0,1.0,buy
MCHP,Microchip Technology Incorporated,10,0,10,1.0,1.0,buy
IT,"Gartner, Inc.",10,0,10,1.0,1.0,buy
MCO,Moody's Corporation,10,0,10,1.0,1.0,buy
MDLZ,"Mondelez International, Inc.",10,0,10,1.0,1.0,buy
MDT,Medtronic plc,10,0,10,1.0,1.0,buy
MET,"MetLife, Inc.",10,0,10,1.0,1.0,buy
