model,class,p_value,sample_size,high_prefer,low_prefer,mean_diff
DeepSeek-V3,size,5.142556186525504e-07,214,Q1,Q4,0.1869158878504673
DeepSeek-V3,momentum,2.8776594003683166e-18,1708,contrarian,momentum,0.25409836065573765
DeepSeek-V3,sector,0.013793497956604875,79,Technology,Basic Materials,0.20897646414887794
Llama-4,size,0.014949695957625058,213,Q2,Q3,0.07187444895080242
Llama-4,sector,0.0005043331831211146,52,Energy,Consumer Defensive,0.20637958532695366
Llama-4,momentum,6.086756453273936e-25,1706,contrarian,momentum,0.2896174863387978
Mistral-Small,momentum,0.5785182513127924,1708,contrarian,momentum,0.30562060889929743
Mistral-Small,sector,0.12443426902332731,39,Basic Materials,Communication Services,0.1444444444444445
Mistral-Small,size,0.0542797247448671,214,Q1,Q4,0.07850467289719626
Qwen3-235B,size,0.004814286448143569,214,Q1,Q4,0.11774959204865748
Qwen3-235B,sector,0.0028457151844398856,76,Utilities,Consumer Cyclical,0.23606150793650793
Qwen3-235B,momentum,0.03659316567430708,1706,contrarian,momentum,0.680327868852459
gemini-2.5,momentum,0.689598700699861,1708,contrarian,momentum,0.026932084309133464
gemini-2.5,sector,0.03515395926494588,40,Energy,Basic Materials,0.20350877192982458
gemini-2.5,size,0.00018656158311159977,214,Q1,Q3,0.1514018691588786
gpt-4.1,momentum,1.688128136362788e-06,1708,contrarian,momentum,0.4039812646370023
gpt-4.1,size,0.41720985211787165,213,Q2,Q4,0.03209310527243875
gpt-4.1,sector,0.09093546193077015,37,Energy,Communication Services,0.1397660818713451
